Symbol,Name,Sector,Price/Book,PEG Ratio,Foward PE,Trailing PE,Total Debt/Equity,EV/EBITDA
EQR,Equity Residential,Real Estate,2.1085367,-1.65,38.80503,21.130136,67.121,19.688
ESS,Essex Property Trust,Real Estate,2.3964849,5.69,36.45596,38.239132,105.492,18.993
EL,Estée Lauder Companies,Consumer Staples,15.341057,9.5,33.48164,39.377075,120.917,22.757
ETSY,Etsy,Consumer Discretionary,,18.3,49.63603,49.45421,,40.239
RE,Everest Re,Financials,1.717042,1.48,7.929362,25.000742,40.319,
EVRG,Evergy,Utilities,1.3966988,6.7,15.9754095,16.898844,121.304,11.142
ES,Eversource Energy,Utilities,1.9177958,3.18,19.348623,20.985075,144.464,14.606
EXC,Exelon,Utilities,1.7330315,2.97,18.088608,20.81068,157.282,12.568
EXPE,Expedia Group,Consumer Discretionary,6.6866765,0.62,10.287686,32.411373,176.461,13.162
EXPD,Expeditors,Industrials,5.0354156,-0.53,18.998276,11.598948,14.276,7.46
EXR,Extra Space Storage,Real Estate,6.4285417,4.29,24.305294,22.647314,177.607,22.307
XOM,ExxonMobil,Energy,2.2987895,0.3,9.040905,8.48,23.532,5.763
FFIV,F5 Networks,Information Technology,3.6187751,1.44,11.188905,27.58965,26.921,16.657
FB,Facebook,Communication Services,2.4508204,-0.77,14.612037,9.589916,21.339,7.116
FAST,Fastenal,Industrials,9.084979,4.28,25.979275,26.95699,25.588,18.806
FRT,Federal Realty Investment Trust,Real Estate,3.1618083,4.32,41.854904,22.422268,140.256,20.786
FDX,FedEx,Industrials,1.791204,1.33,9.624583,12.752396,149.741,7.93
FIS,Fidelity National Information Services,Information Technology,0.8769305,0.96,9.474185,278.92,39.719,16.047
FITB,Fifth Third Bancorp,Financials,1.1202614,2.08,9.981424,11.8442335,,
FRC,First Republic Bank,Financials,1.9378377,1.86,15.396887,18.542643,,
FE,FirstEnergy,Utilities,3.0719776,-6.33,15.988462,16.8436,189.162,11.537
